java.lang.Thread$UncaughtExceptionHandler	count=20	duplicates=19
android.webkit.JsResult#cancel	count=19	duplicates=18
java.io.Writer	count=19	duplicates=18
java.nio.charset.Charset	count=19	duplicates=18
java.io.Closeable	count=19	duplicates=18
android.webkit.WebSettings#setSaveFormData	count=18	duplicates=17
android.webkit.WebSettings#setPluginsEnabled	count=18	duplicates=17
android.webkit.WebSettings#setSavePassword	count=18	duplicates=17
java.lang.reflect.TypeVariable	count=18	duplicates=17
android.net.Uri#getPathSegments	count=18	duplicates=17
android.webkit.WebView#setScrollBarStyle	count=17	duplicates=16
android.text.Html	count=17	duplicates=16
android.text.method.PasswordTransformationMethod	count=17	duplicates=16
android.text.SpannableStringBuilder	count=17	duplicates=16
java.sql.Date	count=16	duplicates=15
android.text.method.ScrollingMovementMethod	count=16	duplicates=15
android.webkit.WebView#clearView	count=16	duplicates=15
android.webkit.WebSettings#setUserAgentString	count=16	duplicates=15
java.lang.ArrayIndexOutOfBoundsException	count=16	duplicates=15
android.webkit.WebChromeClient#onCloseWindow	count=15	duplicates=14
android.webkit.WebChromeClient#onCreateWindow	count=15	duplicates=14
android.webkit.WebChromeClient#onJsBeforeUnload	count=15	duplicates=14
android.webkit.WebChromeClient#onRequestFocus	count=15	duplicates=14
android.webkit.JsPromptResult#confirm	count=15	duplicates=14
android.webkit.JsPromptResult#cancel	count=15	duplicates=14
android.webkit.WebView#setWillNotDraw	count=15	duplicates=14
java.util.zip.CRC32	count=15	duplicates=14
java.nio.channels.IllegalSelectorException	count=15	duplicates=14
java.util.concurrent.ConcurrentHashMap	count=15	duplicates=14
android.app.AlarmManager	count=15	duplicates=14
java.lang.Iterable	count=14	duplicates=13
android.webkit.CookieSyncManager#sync	count=14	duplicates=13
android.telephony.TelephonyManager#listen	count=13	duplicates=12
android.webkit.WebView#enablePlatformNotifications	count=13	duplicates=12
java.util.TimeZone	count=13	duplicates=12
android.webkit.WebView#setDownloadListener	count=12	duplicates=11
android.telephony.PhoneStateListener#<init>	count=12	duplicates=11
android.text.format.DateFormat	count=12	duplicates=11
java.net.SocketTimeoutException	count=12	duplicates=11
java.lang.reflect.AccessibleObject	count=12	duplicates=11
java.lang.reflect.WildcardType	count=12	duplicates=11
java.lang.Short	count=12	duplicates=11
java.text.StringCharacterIterator	count=12	duplicates=11
android.net.http.AndroidHttpClient#close	count=12	duplicates=11
